02,03-Are you using the service for an organization?
16,17-Are 140-character messages enough?
16,04-Is getting news (earthquakes, revolutions, zombie attacks, etc.) 4.5 minutes before CNN important to you?
17,05-Are updates from friends and family more important than from people with similar interests?
18,06-Do you want to edit posts and comments after-the-fact?
07,16-Do you want discussions to be threaded?
18,08-Do you want people mentionned in posts to be notified?
18,09-Do you want big in-line pictures?
10,17-Can you categorize your friends and family?
11,17-Are you willing to do work to categorize them?
12,13-Are your parents on Facebook?
18,13-Do you post stuff you want to hide from them?
18,14-Do you think Facebook in no longer cool?
19,15-Are you tired of answering questions?
nn,nn-I'm tired of formulating them?
nn,nn-Twitter
nn,nn-Facebook
nn,nn-Google+
nn,nn-Google+ or Facebook
